Salinity	Temperature	Predation
5	16	10
5	16	7
5	16	0
5	16	5
5	16	4
5	16	0
5	16	4
5	16	6
5	16	6
5	16	7
5	20	16
5	20	13
5	20	9
5	20	12
5	20	12
5	20	9
5	20	12
5	20	13
5	20	14
5	20	15
5	24	20
5	24	12
5	24	14
5	24	13
5	24	14
5	24	8
5	24	10
5	24	10
5	24	13
5	24	19
5	28	15
5	28	12
5	28	10
5	28	17
5	28	15
5	28	17
5	28	11
5	28	14
5	28	13
5	28	11
5	32	12
5	32	12
5	32	13
5	32	17
5	32	21
5	32	17
5	32	18
5	32	11
5	32	18
5	32	17
18	16	1
18	16	0
18	16	0
18	16	0
18	16	0
18	16	0
18	16	2
18	16	0
18	16	0
18	16	1
18	20	4
18	20	2
18	20	2
18	20	1
18	20	1
18	20	1
18	20	2
18	20	3
18	20	3
18	20	2
18	24	13
18	24	8
18	24	5
18	24	6
18	24	10
18	24	9
18	24	4
18	24	7
18	24	9
18	24	8
18	28	9
18	28	9
18	28	10
18	28	6
18	28	13
18	28	7
18	28	10
18	28	10
18	28	16
18	28	10
18	32	14
18	32	15
18	32	14
18	32	13
18	32	18
18	32	18
18	32	14
18	32	7
18	32	18
18	32	14
25	16	1
25	16	1
25	16	0
25	16	1
25	16	0
25	16	1
25	16	1
25	16	0
25	16	0
25	16	1
25	20	3
25	20	5
25	20	3
25	20	4
25	20	2
25	20	2
25	20	4
25	20	1
25	20	0
25	20	3
25	24	5
25	24	6
25	24	4
25	24	8
25	24	8
25	24	4
25	24	3
25	24	4
25	24	5
25	24	6
25	28	7
25	28	2
25	28	7
25	28	11
25	28	1
25	28	8
25	28	8
25	28	1
25	28	11
25	28	3
25	32	4
25	32	3
25	32	14
25	32	12
25	32	4
25	32	5
25	32	6
25	32	4
25	32	13
25	32	4
35	16	4
35	16	1
35	16	0
35	16	3
35	16	0
35	16	2
35	16	0
35	16	0
35	16	2
35	16	1
35	20	14
35	20	2
35	20	6
35	20	9
35	20	6
35	20	15
35	20	0
35	20	3
35	20	13
35	20	6
35	24	15
35	24	6
35	24	11
35	24	13
35	24	6
35	24	18
35	24	3
35	24	5
35	24	15
35	24	9
35	28	10
35	28	5
35	28	14
35	28	16
35	28	8
35	28	16
35	28	6
35	28	4
35	28	17
35	28	6
35	32	7
35	32	1
35	32	14
35	32	9
35	32	6
35	32	11
35	32	6
35	32	4
35	32	14
35	32	6
45	16	4
45	16	0
45	16	1
45	16	2
45	16	1
45	16	1
45	16	0
45	16	0
45	16	1
45	16	0
45	20	4
45	20	0
45	20	1
45	20	3
45	20	1
45	20	1
45	20	1
45	20	0
45	20	0
45	20	0
45	24	8
45	24	2
45	24	4
45	24	2
45	24	6
45	24	6
45	24	1
45	24	1
45	24	2
45	24	2
45	28	6
45	28	0
45	28	2
45	28	3
45	28	3
45	28	0
45	28	6
45	28	0
45	28	1
45	28	2
45	32	6
45	32	0
45	32	5
45	32	4
45	32	0
45	32	0
45	32	8
45	32	1
45	32	0
45	32	0
