nom station	Lat	Long	date	temp	Sal	Dep25	Predation
H12	43,4423232	5,0972381	25/01/2023	6,531	25,828	5	-19,93396711
H03	43,4783692	5,0175865	25/01/2023	6,321	25,304	4,8	-20,85527294
H07	43,5	5,10889	25/01/2023	6,129	24,944	4,8	-21,65249817
H01	43,5333272	5,0235682	25/01/2023	6,539	25,894	4,5	-19,87895854
H19	43,4711	5,20694	25/01/2023	6,02	27,549	4,4	-20,85525649
H13	43.415184	5.064785	25/01/2023	6,462	25,33	4,4	-20,37390285
H08	43,4669426	5,0910294	25/01/2023	6,032	25,128	4,4	-21,90869612
H16	43,4022	5,13028	25/01/2023	5,866	23,431	4,3	-23,12896241
H12	43,4423232	5,0972381	25/01/2023	6,461	25,577	4,1	-20,27320644
H04	43,5167614	5,0694522	25/01/2023	6,503	25,864	4	-20,01079103
H16	43,4022	5,13028	25/01/2023	5,712	23,48	3,9	-23,65141901
H03	43,4783692	5,0175865	25/01/2023	6,241	25,164	3,8	-21,18262011
H08	43,4669426	5,0910294	25/01/2023	6,002	25,059	3,8	-22,04014107
H13	43.415184	5.064785	25/01/2023	5,681	22,105	3,7	-24,19731853
H01	43,5333272	5,0235682	25/01/2023	5,972	25,369	3,6	-22,0142071
H07	43,5	5,10889	25/01/2023	6,151	24,602	3,6	-21,71415884
H19	43,4711	5,20694	25/01/2023	5,904	27,471	3,5	-21,29054027
H12	43,4423232	5,0972381	25/01/2023	6,377	25,226	3,4	-20,70018808
H04	43,5167614	5,0694522	25/01/2023	6,498	25,857	3,2	-20,030356
H01	43,5333272	5,0235682	25/01/2023	5,909	25,351	3	-22,2392325
H13	43.415184	5.064785	25/01/2023	5,376	20,64	3	-25,64878754
H08	43,4669426	5,0910294	25/01/2023	5,954	24,935	3	-22,25617246
H03	43,4783692	5,0175865	25/01/2023	6,181	25,071	2,9	-21,42393507
H12	43,4423232	5,0972381	25/01/2023	6,204	25,256	2,9	-21,26955535
H18	43,4424421	5,1847996	25/01/2023	5,723	27,348	2,7	-21,97735416
H07	43,5	5,10889	25/01/2023	6,141	24,54	2,7	-21,77248685
H19	43,4711	5,20694	25/01/2023	5,904	27,407	2,6	-21,32156743
H12	43,4423232	5,0972381	25/01/2023	5,723	25,245	2,6	-22,93182526
H01	43,5333272	5,0235682	25/01/2023	5,824	25,262	2,3	-22,57169306
H16	43,4022	5,13028	25/01/2023	5,456	23,02	2,3	-24,71833627
H08	43,4669426	5,0910294	25/01/2023	5,875	24,603	2,2	-22,6627744
H07	43,5	5,10889	25/01/2023	6,031	24,563	2,2	-22,13970462
H04	43,5167614	5,0694522	25/01/2023	6,395	25,593	2,2	-20,48588909
